"","net_greenhouse_pc_1","energy_imp_dep_1","oil_imports_1"
"1",-0.24713412369426,-0.760566898112426,-0.260763044394428
"2",0,0.650693670455735,0.427665507180036
"3",0.0823780412314201,-1.09354381859423,-0.0901202727176413
"4",-0.247134123694262,0.0964442776097631,-0.130628523727764
"5",0.329512164925682,0.382419872927317,-0.131404814252348
"6",-0.0823780412314201,-0.0228902557618115,0.0717715875911051
"7",0.16475608246284,-0.373568974032751,0.0829219423987694
"8",0.247134123694262,0.338165378454484,0.269443383896597
"9",-0.08237804123142,0.342133022786529,-0.364785974688714
"10",0.16475608246284,1.08835536062156,0.167608181444321
"11",-0.16475608246284,-1.00076198190636,-0.228370557959505
"12",0,0.71570199681928,0.0691604285538673
"13",0.329512164925682,-0.79169764594849,0.0810870738861158
"14",0,0.416602654864953,-0.0537757617939254
"15",-0.0823780412314217,-0.308865851079365,0.022865284542299
"16",-0.16475608246284,0.768807390186683,-0.0896968415224135
"17",0.247134123694262,-0.874407770101171,0.0556812021724503
"18",-0.494268247388523,-0.0604302752111782,-0.431829247266443
"19",-0.906158453545624,-0.618647312389203,-0.543332795343086
"20",0.0823780412314201,0.54753491782251,0.184545429253432
"21",-0.0823780412314201,-0.371737753571806,-0.495908501477577
"22",-0.16475608246284,-0.684876452393375,-0.318561402543017
"23",-0.741402371082784,-0.724247692303687,-0.547567107295363
"24",-0.411890206157102,-0.282313154395664,-0.470079198568683
"25",0.164756082462841,0.372042956981961,0.652436899980105
"26",0.0823780412314201,0.190141724528109,0.0668315569801146
"27",0.164756082462841,-0.205707098446141,0.225898848929228
"28",-0.247134123694261,-0.195635385910943,-0.239009690170797
"29",-0.164756082462841,0.349763108040467,-0.0629464346201685
"30",-0.494268247388522,-1.22996974293463,-1.05760811891673
