"","net_greenhouse_pc_1","GDP_pc_1","total_energy_supply_1"
"1",-0.24713412369426,0.212136239996595,0.264927743083605
"2",0,0.112275858651407,-0.0684966324699856
"3",0.0823780412314201,-0.13494031801467,-0.0572362123923669
"4",-0.247134123694262,0.311830332452803,-0.136750226763076
"5",0.329512164925682,0.431345575711883,0.922343906269717
"6",-0.0823780412314201,0.190474924205662,-0.00609991344697625
"7",0.16475608246284,0.276615041198416,0.167775524712069
"8",0.247134123694262,0.282316875851467,0.331221582456337
"9",-0.08237804123142,0.259489248217709,0.187282028361616
"10",0.16475608246284,0.612996417141132,0.234708353350212
"11",-0.16475608246284,0.322067549021265,0.0433439429469085
"12",0,0.0181501899958318,0.0904712560311184
"13",0.329512164925682,-0.0529866104295507,0.606998263080335
"14",0,0.133020720001736,0.0935791720366175
"15",-0.0823780412314217,0.0563930908671166,0.245857468914314
"16",-0.16475608246284,0.259607796689878,-0.124878476509708
"17",0.247134123694262,0.173126263741657,-0.0402485075698349
"18",-0.494268247388523,-0.289461639080323,-0.180296526080885
"19",-0.906158453545624,-1.00656348928291,-0.891515795946522
"20",0.0823780412314201,0.232788185258568,0.300721693750723
"21",-0.0823780412314201,0.0900255706466221,-0.420413939667866
"22",-0.16475608246284,-0.549194509102454,-0.48396853323481
"23",-0.741402371082784,-0.487191321313928,-0.436197396217509
"24",-0.411890206157102,-0.145962612739962,-0.631934520857118
"25",0.164756082462841,0.137951849732179,0.424701092262624
"26",0.0823780412314201,0.232975604499991,-0.115934763628806
"27",0.164756082462841,0.293588102005996,0.374728126560264
"28",-0.247134123694261,0.183566101612923,-0.215431524780457
"29",-0.164756082462841,0.273740749180148,-0.123935268774719
"30",-0.494268247388522,-1.45089985034951,-0.833047033250134
