"","net_greenhouse_pc_1","total_energy_supply_1","gross_electricity_prod_1"
"1",-0.24713412369426,0.264927743083605,0.174867428716666
"2",0,-0.0684966324699856,0.13829143854606
"3",0.0823780412314201,-0.0572362123923669,-0.117069988703719
"4",-0.247134123694262,-0.136750226763076,0.303738286842982
"5",0.329512164925682,0.922343906269717,0.322210670513013
"6",-0.0823780412314201,-0.00609991344697625,0.0995027853587165
"7",0.16475608246284,0.167775524712069,0.224551771001578
"8",0.247134123694262,0.331221582456337,0.277823309389381
"9",-0.08237804123142,0.187282028361616,0.199039095914656
"10",0.16475608246284,0.234708353350212,0.363588642307897
"11",-0.16475608246284,0.0433439429469085,0.0782074795068934
"12",0,0.0904712560311184,0.211830199087638
"13",0.329512164925682,0.606998263080335,0.284609245134938
"14",0,0.0935791720366175,0.315185767161648
"15",-0.0823780412314217,0.245857468914314,0.006307832907956
"16",-0.16475608246284,-0.124878476509708,0.352318543807739
"17",0.247134123694262,-0.0402485075698349,-0.00761953977451402
"18",-0.494268247388523,-0.180296526080885,0.179306600656593
"19",-0.906158453545624,-0.891515795946522,-0.877616410749726
"20",0.0823780412314201,0.300721693750723,0.310004649081974
"21",-0.0823780412314201,-0.420413939667866,0.0163417903360961
"22",-0.16475608246284,-0.48396853323481,-0.10885296286429
"23",-0.741402371082784,-0.436197396217509,-0.317689495940678
"24",-0.411890206157102,-0.631934520857118,-0.331356277265132
"25",0.164756082462841,0.424701092262624,0.10830542934324
"26",0.0823780412314201,-0.115934763628806,0.222482830505337
"27",0.164756082462841,0.374728126560264,0.205732636216666
"28",-0.247134123694261,-0.215431524780457,-0.20322233649898
"29",-0.164756082462841,-0.123935268774719,0.137315788256467
"30",-0.494268247388522,-0.833047033250134,-0.441647672241485
