"","net_greenhouse_pc_1","Length_of_motorways_1","Total_freight_loaded_and_unloaded_1"
"1",-0.24713412369426,0.485694017105619,0.113114785634362
"2",0,-0.0539660019006243,0.385326000761211
"3",0.0823780412314201,0.503682684405827,-0.498440786395572
"4",-0.247134123694262,-0.116926337451353,0.151808003820497
"5",0.329512164925682,0.269830009503122,0.411889485747161
"6",-0.0823780412314201,0.134915004751561,0.0827625018721975
"7",0.16475608246284,0.0179886673002081,-0.0801998916905803
"8",0.247134123694262,0.0404745014254683,-0.382792560823108
"9",-0.08237804123142,0,-0.871613251364102
"10",0.16475608246284,0,1.50085983630947
"11",-0.16475608246284,0,-1.64728078880927
"12",0,0.0404745014254683,1.64728078880927
"13",0.329512164925682,0,0.386988248707819
"14",0,0.202372507127341,0.113974326380414
"15",-0.0823780412314217,0.0449716682505203,0.18637126194394
"16",-0.16475608246284,0.0539660019006244,0.239392988413841
"17",0.247134123694262,0.152903672051769,0.410333158432202
"18",-0.494268247388523,0.184383839827133,-0.390936629786317
"19",-0.906158453545624,0.143909338401665,-0.465243797232314
"20",0.0823780412314201,0.0314801677753642,0.566422128346449
"21",-0.0823780412314201,0,0.0333736271073514
"22",-0.16475608246284,0.260835675853018,-0.239026292114974
"23",-0.741402371082784,0.112429170626301,0.155581564570466
"24",-0.411890206157102,0.418236514729839,0.211123262117464
"25",0.164756082462841,0.445219515680151,0.171665034795192
"26",0.0823780412314201,0,0.319507601895382
"27",0.164756082462841,0,0.367489386211088
"28",-0.247134123694261,0.103434836976197,-0.0496873484964822
"29",-0.164756082462841,0.0494688350755723,-0.188805954811999
"30",-0.494268247388522,0.00449716682505219,-1.04779629881846
