"","net_greenhouse_pc_1","GDP_pc_1","Length_of_motorways_1"
"1",-0.24713412369426,0.212136239996595,0.485694017105619
"2",0,0.112275858651407,-0.0539660019006243
"3",0.0823780412314201,-0.13494031801467,0.503682684405827
"4",-0.247134123694262,0.311830332452803,-0.116926337451353
"5",0.329512164925682,0.431345575711883,0.269830009503122
"6",-0.0823780412314201,0.190474924205662,0.134915004751561
"7",0.16475608246284,0.276615041198416,0.0179886673002081
"8",0.247134123694262,0.282316875851467,0.0404745014254683
"9",-0.08237804123142,0.259489248217709,0
"10",0.16475608246284,0.612996417141132,0
"11",-0.16475608246284,0.322067549021265,0
"12",0,0.0181501899958318,0.0404745014254683
"13",0.329512164925682,-0.0529866104295507,0
"14",0,0.133020720001736,0.202372507127341
"15",-0.0823780412314217,0.0563930908671166,0.0449716682505203
"16",-0.16475608246284,0.259607796689878,0.0539660019006244
"17",0.247134123694262,0.173126263741657,0.152903672051769
"18",-0.494268247388523,-0.289461639080323,0.184383839827133
"19",-0.906158453545624,-1.00656348928291,0.143909338401665
"20",0.0823780412314201,0.232788185258568,0.0314801677753642
"21",-0.0823780412314201,0.0900255706466221,0
"22",-0.16475608246284,-0.549194509102454,0.260835675853018
"23",-0.741402371082784,-0.487191321313928,0.112429170626301
"24",-0.411890206157102,-0.145962612739962,0.418236514729839
"25",0.164756082462841,0.137951849732179,0.445219515680151
"26",0.0823780412314201,0.232975604499991,0
"27",0.164756082462841,0.293588102005996,0
"28",-0.247134123694261,0.183566101612923,0.103434836976197
"29",-0.164756082462841,0.273740749180148,0.0494688350755723
"30",-0.494268247388522,-1.45089985034951,0.00449716682505219
