"","net_greenhouse_pc_1","Rail_tracks_KM_1","Number_of_motorcycle_1"
"1",-0.24713412369426,0.0188450242466522,0.00455373592839314
"2",0,0.0602230626946361,0.0239071136240643
"3",0.0823780412314201,0.0559981426005117,-0.011384339820983
"4",-0.247134123694262,0.0881832822973716,-0.00512295291944231
"5",0.329512164925682,-0.223249511839172,0.0239071136240643
"6",-0.0823780412314201,0.0287871809537354,0.0142304247762288
"7",0.16475608246284,0.0748466704797122,0.0916439355589129
"8",0.247134123694262,0.07580624317817,0.123520087057666
"9",-0.08237804123142,0.0767658158766279,0.22768679641966
"10",0.16475608246284,-0.158329495245545,0.202641248813497
"11",-0.16475608246284,0.12954231429181,0.18101100315363
"12",0,-0.0143935904768677,0.185564739082023
"13",0.329512164925682,0.0115148723814942,0.113274181218781
"14",0,0.0143935904768677,0.206625767750841
"15",-0.0823780412314217,0.692811488286566,0.199795163858251
"16",-0.16475608246284,0.186157103500822,0.171334314305794
"17",0.247134123694262,0.184237958103907,0.153119370592221
"18",-0.494268247388523,0.431807714306031,0.14742720068173
"19",-0.906158453545624,0.3300930082695,0.106443577326191
"20",0.0823780412314201,0.0355041898429403,0.0700136898990454
"21",-0.0823780412314201,0.0230297447629884,0.0313069345077032
"22",-0.16475608246284,0.0355041898429405,-0.000569216991049171
"23",-0.741402371082784,0.0143935904768677,0.013444905328581
"24",-0.411890206157102,-0.01343401777841,0.0216256919239393
"25",0.164756082462841,0.00767658158766293,0.0359927287780198
"26",0.0823780412314201,0.142976332070219,0.0472831477954796
"27",0.164756082462841,0.0460594895259767,0.0516974255610658
"28",-0.247134123694261,0.018231881270699,0.0656392573228328
"29",-0.164756082462841,-0.00191914539691562,0.0612306717271569
"30",-0.494268247388522,0.0143935904768677,0.0848941604790523
