"","greenhouse","energy_supply","motorways"
"1",2.21920348405499,14.3491681887598,8.73117490093806
"2",2.18605127673809,14.3735178775792,8.74846362994206
"3",2.18605127673809,14.3672789128976,8.7465573545435
"4",2.19722457733622,14.3620355761577,8.764209507142
"5",2.16332302566054,14.3493956122338,8.76013937002663
"6",2.2082744135228,14.4317073780711,8.76950712003023
"7",2.19722457733622,14.431184675027,8.77415829120596
"8",2.21920348405499,14.4454627395231,8.77477681604399
"9",2.2512917986065,14.4730656530114,8.77616709973127
"10",2.24070968927596,14.4883423957819,8.77616709973127
"11",2.26176309847379,14.5071640009535,8.77616709973127
"12",2.24070968927596,14.5106013944008,8.77616709973127
"13",2.24070968927596,14.5177383754617,8.77755545321306
"14",2.28238238567653,14.5643486765369,8.77755545321306
"15",2.28238238567653,14.5713450268748,8.78446845409036
"16",2.27212588550934,14.5894964180973,8.78599820809833
"17",2.2512917986065,14.5803179522888,8.78783082925876
"18",2.28238238567653,14.5773416775631,8.79300509129753
"19",2.21920348405499,14.5638994040753,8.79920924224139
"20",2.09186406167839,14.4946382541941,8.80402490241318
"21",2.10413415427021,14.5185411923887,8.80507524387068
"22",2.09186406167839,14.4849632189607,8.80507524387068
"23",2.06686275947298,14.4448594127078,8.81373589230022
"24",1.94591014905531,14.4072823107343,8.81744592104187
"25",1.87180217690159,14.3502091468917,8.83112763501208
"26",1.90210752639692,14.3889225928027,8.84548923675327
"27",1.91692261218206,14.3785024547111,8.84548923675327
"28",1.94591014905531,14.4117983413021,8.84548923675327
"29",1.90210752639692,14.3927921938689,8.84879645092595
"30",1.87180217690159,14.3816922312203,8.85037430393924
"31",1.77495235091167,14.3037031621663,8.85051762174672
