"","net_greenhouse_pc_1","environm_taxes_1","energy_imp_dep_1"
"1",-0.24713412369426,1.34126917697,-0.760566898112426
"2",0,0.0398987923281049,0.650693670455735
"3",0.0823780412314201,-0.174102013794394,-1.09354381859423
"4",-0.247134123694262,-0.00325442694424316,0.0964442776097631
"5",0.329512164925682,-0.275862884359298,0.382419872927317
"6",-0.0823780412314201,-0.352163861653697,-0.0228902557618115
"7",0.16475608246284,-0.0759911597402819,-0.373568974032751
"8",0.247134123694262,-0.331848359627159,0.338165378454484
"9",-0.08237804123142,0.39061468116378,0.342133022786529
"10",0.16475608246284,-1.04370404516424,1.08835536062156
"11",-0.16475608246284,-0.0832721084575959,-1.00076198190636
"12",0,-0.302487147878223,0.71570199681928
"13",0.329512164925682,0.203112004229893,-0.79169764594849
"14",0,-0.50869615701945,0.416602654864953
"15",-0.0823780412314217,0.201914860831648,-0.308865851079365
"16",-0.16475608246284,-0.112803683186668,0.768807390186683
"17",0.247134123694262,-0.480604229074354,-0.874407770101171
"18",-0.494268247388523,-0.517081738446286,-0.0604302752111782
"19",-0.906158453545624,0.766918752956244,-0.618647312389203
"20",0.0823780412314201,-0.00267041529661771,0.54753491782251
"21",-0.0823780412314201,0.869163174249252,-0.371737753571806
"22",-0.16475608246284,1.46872093755355,-0.684876452393375
"23",-0.741402371082784,-0.231582952842315,-0.724247692303687
"24",-0.411890206157102,0.597375324240669,-0.282313154395664
"25",0.164756082462841,-0.738677724081598,0.372042956981961
"26",0.0823780412314201,0.43737666116681,0.190141724528109
"27",0.164756082462841,-0.569447890304237,-0.205707098446141
"28",-0.247134123694261,-0.100490804171335,-0.195635385910943
"29",-0.164756082462841,-0.23447854306645,0.349763108040467
"30",-0.494268247388522,-0.669938694475574,-1.22996974293463
