"","net_greenhouse_pc_1","GDP_pc_1","Rail_tracks_KM_1"
"1",-0.24713412369426,0.212136239996595,0.0188450242466522
"2",0,0.112275858651407,0.0602230626946361
"3",0.0823780412314201,-0.13494031801467,0.0559981426005117
"4",-0.247134123694262,0.311830332452803,0.0881832822973716
"5",0.329512164925682,0.431345575711883,-0.223249511839172
"6",-0.0823780412314201,0.190474924205662,0.0287871809537354
"7",0.16475608246284,0.276615041198416,0.0748466704797122
"8",0.247134123694262,0.282316875851467,0.07580624317817
"9",-0.08237804123142,0.259489248217709,0.0767658158766279
"10",0.16475608246284,0.612996417141132,-0.158329495245545
"11",-0.16475608246284,0.322067549021265,0.12954231429181
"12",0,0.0181501899958318,-0.0143935904768677
"13",0.329512164925682,-0.0529866104295507,0.0115148723814942
"14",0,0.133020720001736,0.0143935904768677
"15",-0.0823780412314217,0.0563930908671166,0.692811488286566
"16",-0.16475608246284,0.259607796689878,0.186157103500822
"17",0.247134123694262,0.173126263741657,0.184237958103907
"18",-0.494268247388523,-0.289461639080323,0.431807714306031
"19",-0.906158453545624,-1.00656348928291,0.3300930082695
"20",0.0823780412314201,0.232788185258568,0.0355041898429403
"21",-0.0823780412314201,0.0900255706466221,0.0230297447629884
"22",-0.16475608246284,-0.549194509102454,0.0355041898429405
"23",-0.741402371082784,-0.487191321313928,0.0143935904768677
"24",-0.411890206157102,-0.145962612739962,-0.01343401777841
"25",0.164756082462841,0.137951849732179,0.00767658158766293
"26",0.0823780412314201,0.232975604499991,0.142976332070219
"27",0.164756082462841,0.293588102005996,0.0460594895259767
"28",-0.247134123694261,0.183566101612923,0.018231881270699
"29",-0.164756082462841,0.273740749180148,-0.00191914539691562
"30",-0.494268247388522,-1.45089985034951,0.0143935904768677
