"","greenhouse","Total_freight_loaded_and_unloaded","Number_of_motorcycle"
"1",0.612616175761796,-1.14032233777758,-1.46462944373576
"2",0.396078269378952,-0.983851599668962,-1.45675658702031
"3",0.396078269378952,-0.515267077472774,-1.41583016668701
"4",0.469058119431677,-1.14032233777758,-1.43523452604177
"5",0.247625773983004,-0.932540742390522,-1.44401638823656
"6",0.54123154579948,-0.444077294009689,-1.40329845832059
"7",0.469058119431677,-0.356665584578982,-1.37937598286745
"8",0.612616175761796,-0.441323442876258,-1.23062073264546
"9",0.822205129701342,-0.891341681753161,-1.04330641983497
"10",0.75308672145645,-2.39652622337251,-0.731301228552253
"11",0.890599771683904,-0.189964406469199,-0.483271708876637
"12",0.75308672145645,-2.77317258353802,-0.280962773826204
"13",0.75308672145645,-0.189964406469199,-0.0894268471666809
"14",1.02527729826027,0.159091887632309,0.0205978926670234
"15",1.02527729826027,0.253085838627836,0.209500220682215
"16",0.958285648148141,0.399420048291891,0.379389796789211
"17",0.822205129701342,0.575414097193955,0.516328319556393
"18",1.02527729826027,0.850478407950568,0.63260748939158
"19",0.612616175761796,0.589135497082052,0.739625454237103
"20",-0.21911764086927,0.236782901710065,0.814113261341064
"21",-0.138973952831924,0.65949132683236,0.861912958437714
"22",-0.21911764086927,0.682262229077992,0.882991603862896
"23",-0.382416862084203,0.514304634198662,0.882609954323368
"24",-1.17243439488447,0.624925995250404,0.891608826060881
"25",-1.65648014734525,0.767475891154836,0.906014901815849
"26",-1.4585368590088,0.877568579084194,0.929807217636364
"27",-1.3617702205726,1.07017458032065,0.960719122784003
"28",-1.17243439488447,1.27447162977173,0.994080697841083
"29",-1.4585368590088,1.24782449248652,1.03580119404
"30",-1.65648014734525,1.14384179184023,1.07409537080181
"31",-2.28906724336973,0.469589889648196,1.12622698154314
