"","net_greenhouse_pc_1","GDP_pc_1","industrial_production_1"
"1",-0.24713412369426,0.212136239996595,-0.102004193536699
"2",0,0.112275858651407,-0.110839202425673
"3",0.0823780412314201,-0.13494031801467,-0.256215257781144
"4",-0.247134123694262,0.311830332452803,0.62086017010907
"5",0.329512164925682,0.431345575711883,0.640939735765909
"6",-0.0823780412314201,0.190474924205662,-0.191960647679235
"7",0.16475608246284,0.276615041198416,0.435324983440015
"8",0.247134123694262,0.282316875851467,0.14537605535547
"9",-0.08237804123142,0.259489248217709,-0.0297177571721118
"10",0.16475608246284,0.612996417141132,0.500382776168123
"11",-0.16475608246284,0.322067549021265,-0.221678404851346
"12",0,0.0181501899958318,-0.180716090911467
"13",0.329512164925682,-0.0529866104295507,-0.0754991668696769
"14",0,0.133020720001736,-0.0216859309094332
"15",-0.0823780412314217,0.0563930908671166,-0.0738928016170842
"16",-0.16475608246284,0.259607796689878,0.425686791924744
"17",0.247134123694262,0.173126263741657,0.282720284448069
"18",-0.494268247388523,-0.289461639080323,-0.51243051556219
"19",-0.906158453545624,-1.00656348928291,-2.21678404851366
"20",0.0823780412314201,0.232788185258568,0.6786893192007
"21",-0.0823780412314201,0.0900255706466221,0.0819246278798587
"22",-0.16475608246284,-0.549194509102454,-0.601583787078526
"23",-0.741402371082784,-0.487191321313928,-0.302799850104918
"24",-0.411890206157102,-0.145962612739962,-0.0610418795967602
"25",0.164756082462841,0.137951849732179,0.0979882804053216
"26",0.0823780412314201,0.232975604499991,0.197582926063157
"27",0.164756082462841,0.293588102005996,0.367054460206817
"28",-0.247134123694261,0.183566101612923,0.0859405410112446
"29",-0.164756082462841,0.273740749180148,-0.119674211314744
"30",-0.494268247388522,-1.45089985034951,-1.114817485267
